#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wimac.cirSDMA
#  Description: Carrier to Interference for data packets [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 32.6498140
#  Maximum: 32.6498140
#  Trials: 300
#  Mean: 32.6498140
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 1066.0103526
#  3rd moment: 34805.0397075
# 
#  Sum of all values: 9794.9441925
#  (Sum of all values)^2: 319803.1057786
#  (Sum of all values)^3: 10441511.9122645
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -40
#  Right border of x-axis: 100
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 32.5212981
#  P05: 32.5264907
#  P50: 32.5849070
#  P95: 32.6433233
#  P99: 32.6485158
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-40.0000000         0.0000000       1.0000000       0.0000000     0
-39.8600000         0.0000000       1.0000000       0.0000000     1
-39.7200000         0.0000000       1.0000000       0.0000000     2
-39.5800000         0.0000000       1.0000000       0.0000000     3
-39.4400000         0.0000000       1.0000000       0.0000000     4
-39.3000000         0.0000000       1.0000000       0.0000000     5
-39.1600000         0.0000000       1.0000000       0.0000000     6
-39.0200000         0.0000000       1.0000000       0.0000000     7
-38.8800000         0.0000000       1.0000000       0.0000000     8
-38.7400000         0.0000000       1.0000000       0.0000000     9
-38.6000000         0.0000000       1.0000000       0.0000000    10
-38.4600000         0.0000000       1.0000000       0.0000000    11
-38.3200000         0.0000000       1.0000000       0.0000000    12
-38.1800000         0.0000000       1.0000000       0.0000000    13
-38.0400000         0.0000000       1.0000000       0.0000000    14
-37.9000000         0.0000000       1.0000000       0.0000000    15
-37.7600000         0.0000000       1.0000000       0.0000000    16
-37.6200000         0.0000000       1.0000000       0.0000000    17
-37.4800000         0.0000000       1.0000000       0.0000000    18
-37.3400000         0.0000000       1.0000000       0.0000000    19
-37.2000000         0.0000000       1.0000000       0.0000000    20
-37.0600000         0.0000000       1.0000000       0.0000000    21
-36.9200000         0.0000000       1.0000000       0.0000000    22
-36.7800000         0.0000000       1.0000000       0.0000000    23
-36.6400000         0.0000000       1.0000000       0.0000000    24
-36.5000000         0.0000000       1.0000000       0.0000000    25
-36.3600000         0.0000000       1.0000000       0.0000000    26
