#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: no name available
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 0.0000000
#  Trials: 10
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.25
#  Resolution of x-axis: 25000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: NaN
#  P12: NaN
#  P13: NaN
#  P14: NaN
#  P15: NaN
#  P16: NaN
#  P17: NaN
#  P18: NaN
#  P19: NaN
#  P20: NaN
#  P21: NaN
#  P22: NaN
#  P23: NaN
#  P24: NaN
#  P25: NaN
#  P26: NaN
#  P27: NaN
#  P28: NaN
#  P29: NaN
#  P30: NaN
#  P31: NaN
#  P32: NaN
#  P33: NaN
#  P34: NaN
#  P35: NaN
#  P36: NaN
#  P37: NaN
#  P38: NaN
#  P39: NaN
#  P40: NaN
#  P41: NaN
#  P42: NaN
#  P43: NaN
#  P44: NaN
#  P45: NaN
#  P46: NaN
#  P47: NaN
#  P48: NaN
#  P49: NaN
#  P50: NaN
#  P51: NaN
#  P52: NaN
#  P53: NaN
#  P54: NaN
#  P55: NaN
#  P56: NaN
#  P57: NaN
#  P58: NaN
#  P59: NaN
#  P60: NaN
#  P61: NaN
#  P62: NaN
#  P63: NaN
#  P64: NaN
#  P65: NaN
#  P66: NaN
#  P67: NaN
#  P68: NaN
#  P69: NaN
#  P70: NaN
#  P71: NaN
#  P72: NaN
#  P73: NaN
#  P74: NaN
#  P75: NaN
#  P76: NaN
#  P77: NaN
#  P78: NaN
#  P79: NaN
#  P80: NaN
#  P81: NaN
#  P82: NaN
#  P83: NaN
#  P84: NaN
#  P85: NaN
#  P86: NaN
#  P87: NaN
#  P88: NaN
#  P89: NaN
#  P90: NaN
#  P91: NaN
#  P92: NaN
#  P93: NaN
#  P94: NaN
#  P95: NaN
#  P96: NaN
#  P97: NaN
#  P98: NaN
#  P99: NaN
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           1.0000000       0.0000000       1.0000000     0
0.0000100           1.0000000       0.0000000       0.0000000     1
0.0000200           1.0000000       0.0000000       0.0000000     2
0.0000300           1.0000000       0.0000000       0.0000000     3
0.0000400           1.0000000       0.0000000       0.0000000     4
0.0000500           1.0000000       0.0000000       0.0000000     5
0.0000600           1.0000000       0.0000000       0.0000000     6
0.0000700           1.0000000       0.0000000       0.0000000     7
0.0000800           1.0000000       0.0000000       0.0000000     8
0.0000900           1.0000000       0.0000000       0.0000000     9
0.0001000           1.0000000       0.0000000       0.0000000    10
0.0001100           1.0000000       0.0000000       0.0000000    11
0.0001200           1.0000000       0.0000000       0.0000000    12
0.0001300           1.0000000       0.0000000       0.0000000    13
0.0001400           1.0000000       0.0000000       0.0000000    14
0.0001500           1.0000000       0.0000000       0.0000000    15
0.0001600           1.0000000       0.0000000       0.0000000    16
0.0001700           1.0000000       0.0000000       0.0000000    17
0.0001800           1.0000000       0.0000000       0.0000000    18
0.0001900           1.0000000       0.0000000       0.0000000    19
0.0002000           1.0000000       0.0000000       0.0000000    20
0.0002100           1.0000000       0.0000000       0.0000000    21
0.0002200           1.0000000       0.0000000       0.0000000    22
0.0002300           1.0000000       0.0000000       0.0000000    23
0.0002400           1.0000000       0.0000000       0.0000000    24
0.0002500           1.0000000       0.0000000       0.0000000    25
0.0002600           1.0000000       0.0000000       0.0000000    26
0.0002700           1.0000000       0.0000000       0.0000000    27
0.0002800           1.0000000       0.0000000       0.0000000    28
0.0002900           1.0000000       0.0000000       0.0000000    29
0.0003000           1.0000000       0.0000000       0.0000000    30
0.0003100           1.0000000       0.0000000       0.0000000    31
0.0003200           1.0000000       0.0000000       0.0000000    32
0.0003300           1.0000000       0.0000000       0.0000000    33
0.0003400           1.0000000       0.0000000       0.0000000    34
0.0003500           1.0000000       0.0000000       0.0000000    35
0.0003600           1.0000000       0.0000000       0.0000000    36
0.0003700           1.0000000       0.0000000       0.0000000    37
0.0003800           1.0000000       0.0000000       0.0000000    38
0.0003900           1.0000000       0.0000000       0.0000000    39
0.0004000           1.0000000       0.0000000       0.0000000    40
0.0004100           1.0000000       0.0000000       0.0000000    41
0.0004200           1.0000000       0.0000000       0.0000000    42
0.0004300           1.0000000       0.0000000       0.0000000    43
0.0004400           1.0000000       0.0000000       0.0000000    44
0.0004500           1.0000000       0.0000000       0.0000000    45
0.0004600           1.0000000       0.0000000       0.0000000    46
0.0004700           1.0000000       0.0000000       0.0000000    47
0.0004800           1.0000000       0.0000000       0.0000000    48
0.0004900           1.0000000       0.0000000       0.0000000    49
0.0005000           1.0000000       0.0000000       0.0000000    50
0.0005100           1.0000000       0.0000000       0.0000000    51
0.0005200           1.0000000       0.0000000       0.0000000    52
0.0005300           1.0000000       0.0000000       0.0000000    53
0.0005400           1.0000000       0.0000000       0.0000000    54
0.0005500           1.0000000       0.0000000       0.0000000    55
0.0005600           1.0000000       0.0000000       0.0000000    56
0.0005700           1.0000000       0.0000000       0.0000000    57
0.0005800           1.0000000       0.0000000       0.0000000    58
0.0005900           1.0000000       0.0000000       0.0000000    59
0.0006000           1.0000000       0.0000000       0.0000000    60
0.0006100           1.0000000       0.0000000       0.0000000    61
0.0006200           1.0000000       0.0000000       0.0000000    62
0.0006300           1.0000000       0.0000000       0.0000000    63
0.0006400           1.0000000       0.0000000       0.0000000    64
0.0006500           1.0000000       0.0000000       0.0000000    65
0.0006600           1.0000000       0.0000000       0.0000000    66
0.0006700           1.0000000       0.0000000       0.0000000    67
0.0006800           1.0000000       0.0000000       0.0000000    68
0.0006900           1.0000000       0.0000000       0.0000000    69
0.0007000           1.0000000       0.0000000       0.0000000    70
0.0007100           1.0000000       0.0000000       0.0000000    71
0.0007200           1.0000000       0.0000000       0.0000000    72
0.0007300           1.0000000       0.0000000       0.0000000    73
0.0007400           1.0000000       0.0000000       0.0000000    74
0.0007500           1.0000000       0.0000000       0.0000000    75
0.0007600           1.0000000       0.0000000       0.0000000    76
0.0007700           1.0000000       0.0000000       0.0000000    77
0.0007800           1.0000000       0.0000000       0.0000000    78
0.0007900           1.0000000       0.0000000       0.0000000    79
0.0008000           1.0000000       0.0000000       0.0000000    80
0.0008100           1.0000000       0.0000000       0.0000000    81
0.0008200           1.0000000       0.0000000       0.0000000    82
0.0008300           1.0000000       0.0000000       0.0000000    83
0.0008400           1.0000000       0.0000000       0.0000000    84
0.0008500           1.0000000       0.0000000       0.0000000    85
0.0008600           1.0000000       0.0000000       0.0000000    86
0.0008700           1.0000000       0.0000000       0.0000000    87
0.0008800           1.0000000       0.0000000       0.0000000    88
0.0008900           1.0000000       0.0000000       0.0000000    89
0.0009000           1.0000000       0.0000000       0.0000000    90
0.0009100           1.0000000       0.0000000       0.0000000    91
0.0009200           1.0000000       0.0000000       0.0000000    92
0.0009300           1.0000000       0.0000000       0.0000000    93
0.0009400           1.0000000       0.0000000       0.0000000    94
0.0009500           1.0000000       0.0000000       0.0000000    95
0.0009600           1.0000000       0.0000000       0.0000000    96
0.0009700           1.0000000       0.0000000       0.0000000    97
0.0009800           1.0000000       0.0000000       0.0000000    98
0.0009900           1.0000000       0.0000000       0.0000000    99
0.0010000           1.0000000       0.0000000       0.0000000   100
0.0010100           1.0000000       0.0000000       0.0000000   101
0.0010200           1.0000000       0.0000000       0.0000000   102
0.0010300           1.0000000       0.0000000       0.0000000   103
0.0010400           1.0000000       0.0000000       0.0000000   104
0.0010500           1.0000000       0.0000000       0.0000000   105
0.0010600           1.0000000       0.0000000       0.0000000   106
0.0010700           1.0000000       0.0000000       0.0000000   107
0.0010800           1.0000000       0.0000000       0.0000000   108
0.0010900           1.0000000       0.0000000       0.0000000   109
0.0011000           1.0000000       0.0000000       0.0000000   110
0.0011100           1.0000000       0.0000000       0.0000000   111
0.0011200           1.0000000       0.0000000       0.0000000   112
0.0011300           1.0000000       0.0000000       0.0000000   113
0.0011400           1.0000000       0.0000000       0.0000000   114
0.0011500           1.0000000       0.0000000       0.0000000   115
0.0011600           1.0000000       0.0000000       0.0000000   116
0.0011700           1.0000000       0.0000000       0.0000000   117
0.0011800           1.0000000       0.0000000       0.0000000   118
0.0011900           1.0000000       0.0000000       0.0000000   119
0.0012000           1.0000000       0.0000000       0.0000000   120
0.0012100           1.0000000       0.0000000       0.0000000   121
0.0012200           1.0000000       0.0000000       0.0000000   122
0.0012300           1.0000000       0.0000000       0.0000000   123
0.0012400           1.0000000       0.0000000       0.0000000   124
0.0012500           1.0000000       0.0000000       0.0000000   125
0.0012600           1.0000000       0.0000000       0.0000000   126
0.0012700           1.0000000       0.0000000       0.0000000   127
0.0012800           1.0000000       0.0000000       0.0000000   128
0.0012900           1.0000000       0.0000000       0.0000000   129
0.0013000           1.0000000       0.0000000       0.0000000   130
0.0013100           1.0000000       0.0000000       0.0000000   131
0.0013200           1.0000000       0.0000000       0.0000000   132
0.0013300           1.0000000       0.0000000       0.0000000   133
0.0013400           1.0000000       0.0000000       0.0000000   134
0.0013500           1.0000000       0.0000000       0.0000000   135
0.0013600           1.0000000       0.0000000       0.0000000   136
0.0013700           1.0000000       0.0000000       0.0000000   137
0.0013800           1.0000000       0.0000000       0.0000000   138
0.0013900           1.0000000       0.0000000       0.0000000   139
0.0014000           1.0000000       0.0000000       0.0000000   140
0.0014100           1.0000000       0.0000000       0.0000000   141
0.0014200           1.0000000       0.0000000       0.0000000   142
0.0014300           1.0000000       0.0000000       0.0000000   143
0.0014400           1.0000000       0.0000000       0.0000000   144
0.0014500           1.0000000       0.0000000       0.0000000   145
0.0014600           1.0000000       0.0000000       0.0000000   146
0.0014700           1.0000000       0.0000000       0.0000000   147
0.0014800           1.0000000       0.0000000       0.0000000   148
0.0014900           1.0000000       0.0000000       0.0000000   149
0.0015000           1.0000000       0.0000000       0.0000000   150
0.0015100           1.0000000       0.0000000       0.0000000   151
0.0015200           1.0000000       0.0000000       0.0000000   152
0.0015300           1.0000000       0.0000000       0.0000000   153
0.0015400           1.0000000       0.0000000       0.0000000   154
0.0015500           1.0000000       0.0000000       0.0000000   155
0.0015600           1.0000000       0.0000000       0.0000000   156
0.0015700           1.0000000       0.0000000       0.0000000   157
0.0015800           1.0000000       0.0000000       0.0000000   158
0.0015900           1.0000000       0.0000000       0.0000000   159
0.0016000           1.0000000       0.0000000       0.0000000   160
0.0016100           1.0000000       0.0000000       0.0000000   161
0.0016200           1.0000000       0.0000000       0.0000000   162
0.0016300           1.0000000       0.0000000       0.0000000   163
0.0016400           1.0000000       0.0000000       0.0000000   164
0.0016500           1.0000000       0.0000000       0.0000000   165
0.0016600           1.0000000       0.0000000       0.0000000   166
0.0016700           1.0000000       0.0000000       0.0000000   167
0.0016800           1.0000000       0.0000000       0.0000000   168
0.0016900           1.0000000       0.0000000       0.0000000   169
0.0017000           1.0000000       0.0000000       0.0000000   170
0.0017100           1.0000000       0.0000000       0.0000000   171
0.0017200           1.0000000       0.0000000       0.0000000   172
0.0017300           1.0000000       0.0000000       0.0000000   173
0.0017400           1.0000000       0.0000000       0.0000000   174
0.0017500           1.0000000       0.0000000       0.0000000   175
0.0017600           1.0000000       0.0000000       0.0000000   176
0.0017700           1.0000000       0.0000000       0.0000000   177
0.0017800           1.0000000       0.0000000       0.0000000   178
0.0017900           1.0000000       0.0000000       0.0000000   179
0.0018000           1.0000000       0.0000000       0.0000000   180
0.0018100           1.0000000       0.0000000       0.0000000   181
0.0018200           1.0000000       0.0000000       0.0000000   182
0.0018300           1.0000000       0.0000000       0.0000000   183
0.0018400           1.0000000       0.0000000       0.0000000   184
0.0018500           1.0000000       0.0000000       0.0000000   185
0.0018600           1.0000000       0.0000000       0.0000000   186
0.0018700           1.0000000       0.0000000       0.0000000   187
0.0018800           1.0000000       0.0000000       0.0000000   188
0.0018900           1.0000000       0.0000000       0.0000000   189
0.0019000           1.0000000       0.0000000       0.0000000   190
0.0019100           1.0000000       0.0000000       0.0000000   191
0.0019200           1.0000000       0.0000000       0.0000000   192
0.0019300           1.0000000       0.0000000       0.0000000   193
0.0019400           1.0000000       0.0000000       0.0000000   194
0.0019500           1.0000000       0.0000000       0.0000000   195
0.0019600           1.0000000       0.0000000       0.0000000   196
0.0019700           1.0000000       0.0000000       0.0000000   197
0.0019800           1.0000000       0.0000000       0.0000000   198
0.0019900           1.0000000       0.0000000       0.0000000   199
0.0020000           1.0000000       0.0000000       0.0000000   200
0.0020100           1.0000000       0.0000000       0.0000000   201
0.0020200           1.0000000       0.0000000       0.0000000   202
0.0020300           1.0000000       0.0000000       0.0000000   203
0.0020400           1.0000000       0.0000000       0.0000000   204
0.0020500           1.0000000       0.0000000       0.0000000   205
0.0020600           1.0000000       0.0000000       0.0000000   206
0.0020700           1.0000000       0.0000000       0.0000000   207
0.0020800           1.0000000       0.0000000       0.0000000   208
0.0020900           1.0000000       0.0000000       0.0000000   209
0.0021000           1.0000000       0.0000000       0.0000000   210
0.0021100           1.0000000       0.0000000       0.0000000   211
0.0021200           1.0000000       0.0000000       0.0000000   212
0.0021300           1.0000000       0.0000000       0.0000000   213
0.0021400           1.0000000       0.0000000       0.0000000   214
0.0021500           1.0000000       0.0000000       0.0000000   215
0.0021600           1.0000000       0.0000000       0.0000000   216
0.0021700           1.0000000       0.0000000       0.0000000   217
0.0021800           1.0000000       0.0000000       0.0000000   218
0.0021900           1.0000000       0.0000000       0.0000000   219
0.0022000           1.0000000       0.0000000       0.0000000   220
0.0022100           1.0000000       0.0000000       0.0000000   221
0.0022200           1.0000000       0.0000000       0.0000000   222
0.0022300           1.0000000       0.0000000       0.0000000   223
0.0022400           1.0000000       0.0000000       0.0000000   224
0.0022500           1.0000000       0.0000000       0.0000000   225
0.0022600           1.0000000       0.0000000       0.0000000   226
0.0022700           1.0000000       0.0000000       0.0000000   227
0.0022800           1.0000000       0.0000000       0.0000000   228
0.0022900           1.0000000       0.0000000       0.0000000   229
0.0023000           1.0000000       0.0000000       0.0000000   230
0.0023100           1.0000000       0.0000000       0.0000000   231
0.0023200           1.0000000       0.0000000       0.0000000   232
0.0023300           1.0000000       0.0000000       0.0000000   233
0.0023400           1.0000000       0.0000000       0.0000000   234
0.0023500           1.0000000       0.0000000       0.0000000   235
0.0023600           1.0000000       0.0000000       0.0000000   236
0.0023700           1.0000000       0.0000000       0.0000000   237
0.0023800           1.0000000       0.0000000       0.0000000   238
0.0023900           1.0000000       0.0000000       0.0000000   239
0.0024000           1.0000000       0.0000000       0.0000000   240
0.0024100           1.0000000       0.0000000       0.0000000   241
0.0024200           1.0000000       0.0000000       0.0000000   242
0.0024300           1.0000000       0.0000000       0.0000000   243
0.0024400           1.0000000       0.0000000       0.0000000   244
0.0024500           1.0000000       0.0000000       0.0000000   245
0.0024600           1.0000000       0.0000000       0.0000000   246
0.0024700           1.0000000       0.0000000       0.0000000   247
