#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: no name available
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 240.0000000
#  Maximum: 240.0000000
#  Trials: 51
#  Mean: 240.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 57600.0000000
#  3rd moment: 13824000.0000000
# 
#  Sum of all values: 12240.0000000
#  (Sum of all values)^2: 2937600.0000000
#  (Sum of all values)^3: 705024000.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 15000
#  Resolution of x-axis: 1500
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 230.1000000
#  P02: 230.2000000
#  P03: 230.3000000
#  P04: 230.4000000
#  P05: 230.5000000
#  P06: 230.6000000
#  P07: 230.7000000
#  P08: 230.8000000
#  P09: 230.9000000
#  P10: 231.0000000
#  P11: 231.1000000
#  P12: 231.2000000
#  P13: 231.3000000
#  P14: 231.4000000
#  P15: 231.5000000
#  P16: 231.6000000
#  P17: 231.7000000
#  P18: 231.8000000
#  P19: 231.9000000
#  P20: 232.0000000
#  P21: 232.1000000
#  P22: 232.2000000
#  P23: 232.3000000
#  P24: 232.4000000
#  P25: 232.5000000
#  P26: 232.6000000
#  P27: 232.7000000
#  P28: 232.8000000
#  P29: 232.9000000
#  P30: 233.0000000
#  P31: 233.1000000
#  P32: 233.2000000
#  P33: 233.3000000
#  P34: 233.4000000
#  P35: 233.5000000
#  P36: 233.6000000
#  P37: 233.7000000
#  P38: 233.8000000
#  P39: 233.9000000
#  P40: 234.0000000
#  P41: 234.1000000
#  P42: 234.2000000
#  P43: 234.3000000
#  P44: 234.4000000
#  P45: 234.5000000
#  P46: 234.6000000
#  P47: 234.7000000
#  P48: 234.8000000
#  P49: 234.9000000
#  P50: 235.0000000
#  P51: 235.1000000
#  P52: 235.2000000
#  P53: 235.3000000
#  P54: 235.4000000
#  P55: 235.5000000
#  P56: 235.6000000
#  P57: 235.7000000
#  P58: 235.8000000
#  P59: 235.9000000
#  P60: 236.0000000
#  P61: 236.1000000
#  P62: 236.2000000
#  P63: 236.3000000
#  P64: 236.4000000
#  P65: 236.5000000
#  P66: 236.6000000
#  P67: 236.7000000
#  P68: 236.8000000
#  P69: 236.9000000
#  P70: 237.0000000
#  P71: 237.1000000
#  P72: 237.2000000
#  P73: 237.3000000
#  P74: 237.4000000
#  P75: 237.5000000
#  P76: 237.6000000
#  P77: 237.7000000
#  P78: 237.8000000
#  P79: 237.9000000
#  P80: 238.0000000
#  P81: 238.1000000
#  P82: 238.2000000
#  P83: 238.3000000
#  P84: 238.4000000
#  P85: 238.5000000
#  P86: 238.6000000
#  P87: 238.7000000
#  P88: 238.8000000
#  P89: 238.9000000
#  P90: 239.0000000
#  P91: 239.1000000
#  P92: 239.2000000
#  P93: 239.3000000
#  P94: 239.4000000
#  P95: 239.5000000
#  P96: 239.6000000
#  P97: 239.7000000
#  P98: 239.8000000
#  P99: 239.9000000
#  P100: 240.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
10.0000000          0.0000000       1.0000000       0.0000000     1
20.0000000          0.0000000       1.0000000       0.0000000     2
30.0000000          0.0000000       1.0000000       0.0000000     3
40.0000000          0.0000000       1.0000000       0.0000000     4
50.0000000          0.0000000       1.0000000       0.0000000     5
60.0000000          0.0000000       1.0000000       0.0000000     6
70.0000000          0.0000000       1.0000000       0.0000000     7
80.0000000          0.0000000       1.0000000       0.0000000     8
90.0000000          0.0000000       1.0000000       0.0000000     9
100.0000000         0.0000000       1.0000000       0.0000000    10
110.0000000         0.0000000       1.0000000       0.0000000    11
120.0000000         0.0000000       1.0000000       0.0000000    12
130.0000000         0.0000000       1.0000000       0.0000000    13
140.0000000         0.0000000       1.0000000       0.0000000    14
150.0000000         0.0000000       1.0000000       0.0000000    15
160.0000000         0.0000000       1.0000000       0.0000000    16
170.0000000         0.0000000       1.0000000       0.0000000    17
180.0000000         0.0000000       1.0000000       0.0000000    18
190.0000000         0.0000000       1.0000000       0.0000000    19
200.0000000         0.0000000       1.0000000       0.0000000    20
210.0000000         0.0000000       1.0000000       0.0000000    21
220.0000000         0.0000000       1.0000000       0.0000000    22
230.0000000         0.0000000       1.0000000       0.0000000    23
240.0000000         1.0000000       0.0000000       1.0000000    24
250.0000000         1.0000000       0.0000000       0.0000000    25
260.0000000         1.0000000       0.0000000       0.0000000    26
270.0000000         1.0000000       0.0000000       0.0000000    27
280.0000000         1.0000000       0.0000000       0.0000000    28
290.0000000         1.0000000       0.0000000       0.0000000    29
300.0000000         1.0000000       0.0000000       0.0000000    30
310.0000000         1.0000000       0.0000000       0.0000000    31
320.0000000         1.0000000       0.0000000       0.0000000    32
330.0000000         1.0000000       0.0000000       0.0000000    33
340.0000000         1.0000000       0.0000000       0.0000000    34
350.0000000         1.0000000       0.0000000       0.0000000    35
360.0000000         1.0000000       0.0000000       0.0000000    36
370.0000000         1.0000000       0.0000000       0.0000000    37
380.0000000         1.0000000       0.0000000       0.0000000    38
390.0000000         1.0000000       0.0000000       0.0000000    39
400.0000000         1.0000000       0.0000000       0.0000000    40
410.0000000         1.0000000       0.0000000       0.0000000    41
420.0000000         1.0000000       0.0000000       0.0000000    42
430.0000000         1.0000000       0.0000000       0.0000000    43
440.0000000         1.0000000       0.0000000       0.0000000    44
450.0000000         1.0000000       0.0000000       0.0000000    45
460.0000000         1.0000000       0.0000000       0.0000000    46
470.0000000         1.0000000       0.0000000       0.0000000    47
480.0000000         1.0000000       0.0000000       0.0000000    48
490.0000000         1.0000000       0.0000000       0.0000000    49
500.0000000         1.0000000       0.0000000       0.0000000    50
510.0000000         1.0000000       0.0000000       0.0000000    51
520.0000000         1.0000000       0.0000000       0.0000000    52
530.0000000         1.0000000       0.0000000       0.0000000    53
540.0000000         1.0000000       0.0000000       0.0000000    54
550.0000000         1.0000000       0.0000000       0.0000000    55
560.0000000         1.0000000       0.0000000       0.0000000    56
570.0000000         1.0000000       0.0000000       0.0000000    57
580.0000000         1.0000000       0.0000000       0.0000000    58
590.0000000         1.0000000       0.0000000       0.0000000    59
600.0000000         1.0000000       0.0000000       0.0000000    60
610.0000000         1.0000000       0.0000000       0.0000000    61
620.0000000         1.0000000       0.0000000       0.0000000    62
630.0000000         1.0000000       0.0000000       0.0000000    63
640.0000000         1.0000000       0.0000000       0.0000000    64
650.0000000         1.0000000       0.0000000       0.0000000    65
660.0000000         1.0000000       0.0000000       0.0000000    66
670.0000000         1.0000000       0.0000000       0.0000000    67
680.0000000         1.0000000       0.0000000       0.0000000    68
690.0000000         1.0000000       0.0000000       0.0000000    69
700.0000000         1.0000000       0.0000000       0.0000000    70
710.0000000         1.0000000       0.0000000       0.0000000    71
720.0000000         1.0000000       0.0000000       0.0000000    72
730.0000000         1.0000000       0.0000000       0.0000000    73
740.0000000         1.0000000       0.0000000       0.0000000    74
750.0000000         1.0000000       0.0000000       0.0000000    75
760.0000000         1.0000000       0.0000000       0.0000000    76
770.0000000         1.0000000       0.0000000       0.0000000    77
780.0000000         1.0000000       0.0000000       0.0000000    78
790.0000000         1.0000000       0.0000000       0.0000000    79
800.0000000         1.0000000       0.0000000       0.0000000    80
810.0000000         1.0000000       0.0000000       0.0000000    81
820.0000000         1.0000000       0.0000000       0.0000000    82
830.0000000         1.0000000       0.0000000       0.0000000    83
840.0000000         1.0000000       0.0000000       0.0000000    84
850.0000000         1.0000000       0.0000000       0.0000000    85
860.0000000         1.0000000       0.0000000       0.0000000    86
870.0000000         1.0000000       0.0000000       0.0000000    87
880.0000000         1.0000000       0.0000000       0.0000000    88
890.0000000         1.0000000       0.0000000       0.0000000    89
900.0000000         1.0000000       0.0000000       0.0000000    90
910.0000000         1.0000000       0.0000000       0.0000000    91
920.0000000         1.0000000       0.0000000       0.0000000    92
930.0000000         1.0000000       0.0000000       0.0000000    93
940.0000000         1.0000000       0.0000000       0.0000000    94
950.0000000         1.0000000       0.0000000       0.0000000    95
960.0000000         1.0000000       0.0000000       0.0000000    96
970.0000000         1.0000000       0.0000000       0.0000000    97
980.0000000         1.0000000       0.0000000       0.0000000    98
990.0000000         1.0000000       0.0000000       0.0000000    99
1000.0000000        1.0000000       0.0000000       0.0000000   100
1010.0000000        1.0000000       0.0000000       0.0000000   101
1020.0000000        1.0000000       0.0000000       0.0000000   102
1030.0000000        1.0000000       0.0000000       0.0000000   103
1040.0000000        1.0000000       0.0000000       0.0000000   104
1050.0000000        1.0000000       0.0000000       0.0000000   105
1060.0000000        1.0000000       0.0000000       0.0000000   106
1070.0000000        1.0000000       0.0000000       0.0000000   107
1080.0000000        1.0000000       0.0000000       0.0000000   108
1090.0000000        1.0000000       0.0000000       0.0000000   109
1100.0000000        1.0000000       0.0000000       0.0000000   110
1110.0000000        1.0000000       0.0000000       0.0000000   111
1120.0000000        1.0000000       0.0000000       0.0000000   112
1130.0000000        1.0000000       0.0000000       0.0000000   113
1140.0000000        1.0000000       0.0000000       0.0000000   114
1150.0000000        1.0000000       0.0000000       0.0000000   115
1160.0000000        1.0000000       0.0000000       0.0000000   116
1170.0000000        1.0000000       0.0000000       0.0000000   117
1180.0000000        1.0000000       0.0000000       0.0000000   118
1190.0000000        1.0000000       0.0000000       0.0000000   119
1200.0000000        1.0000000       0.0000000       0.0000000   120
1210.0000000        1.0000000       0.0000000       0.0000000   121
1220.0000000        1.0000000       0.0000000       0.0000000   122
1230.0000000        1.0000000       0.0000000       0.0000000   123
1240.0000000        1.0000000       0.0000000       0.0000000   124
1250.0000000        1.0000000       0.0000000       0.0000000   125
1260.0000000        1.0000000       0.0000000       0.0000000   126
1270.0000000        1.0000000       0.0000000       0.0000000   127
1280.0000000        1.0000000       0.0000000       0.0000000   128
1290.0000000        1.0000000       0.0000000       0.0000000   129
1300.0000000        1.0000000       0.0000000       0.0000000   130
